College_Name,Student_Faculty_Ratio,Annual_Fees_INR,Placement_Percentage,Average_Package_LPA,Infrastructure_Score
Rajalakshmi Engineering College - Campus 2,21,81934,42,9.05,3
St Josephs College of Engineering - Campus 2,25,225967,72,7.98,7
Kumaraguru College of Technology - Campus 2,16,193379,45,6.6,3
Thiagarajar College of Engineering - Campus 2,28,84098,89,2.76,7
Bannari Amman Institute of Technology - Campus 2,9,221993,95,2.78,7
Sri Krishna College of Engineering and Technology - Campus 2,27,35486,49,2.02,9
Sona College of Technology - Campus 2,22,169407,44,11.68,3
Karpagam College of Engineering - Campus 2,14,116900,62,2.05,5
Muthayammal Engineering College - Campus 2,19,156020,49,3.03,6
Paavai College of Engineering - Campus 2,15,132795,83,5.15,4
Mahendra Engineering College - Campus 2,22,172202,41,10.07,7
Nandha Engineering College - Campus 2,10,117508,52,11.62,8
Erode Sengunthar Engineering College - Campus 2,21,148324,79,9.9,8
Dhanalakshmi Srinivasan Engineering College - Campus 2,24,90566,41,8.91,6
IFET College of Engineering - Campus 2,11,227775,59,7.21,8
Velalar College of Engineering and Technology - Campus 2,25,57192,40,2.87,5
SNS College of Technology - Campus 2,15,31062,76,11.58,8
Adhiyamaan College of Engineering - Campus 2,11,114076,48,9.58,4
Indian Institute of Technology Madras - Campus 3,9,119780,56,8.39,4
National Institute of Technology Trichy - Campus 3,13,182617,48,9.59,7
Anna University Chennai - Campus 3,29,51689,50,9.24,3
PSG College of Technology - Campus 3,17,41174,54,8.37,9
Coimbatore Institute of Technology - Campus 3,11,118461,63,11.81,5
Government College of Technology Coimbatore - Campus 3,29,156174,77,11.03,7
SSN College of Engineering - Campus 3,25,133033,94,8.47,5
SRM Institute of Science and Technology - Campus 3,19,39348,74,8.93,3
VIT Vellore - Campus 3,9,184786,69,2.52,8
SASTRA University - Campus 3,17,68102,70,8.7,8
Sri Sairam Engineering College - Campus 3,11,104460,88,2.44,9
Velammal Engineering College - Campus 3,21,132634,44,7.88,3
Rajalakshmi Engineering College - Campus 3,23,119930,99,11.99,7
St Josephs College of Engineering - Campus 3,22,36801,83,7.56,9
Kumaraguru College of Technology - Campus 3,15,133150,89,6.73,3
Thiagarajar College of Engineering - Campus 3,21,233339,53,5.13,6
Bannari Amman Institute of Technology - Campus 3,15,209208,92,3.21,4
Sri Krishna College of Engineering and Technology - Campus 3,28,184697,95,9.31,9
Sona College of Technology - Campus 3,23,243945,50,3.93,9
Karpagam College of Engineering - Campus 3,20,233664,48,3.15,7
Muthayammal Engineering College - Campus 3,25,238124,73,6.22,5
Paavai College of Engineering - Campus 3,22,205333,51,9.95,6
Mahendra Engineering College - Campus 3,28,31542,74,9.45,7
Nandha Engineering College - Campus 3,20,51677,74,2.55,3
Erode Sengunthar Engineering College - Campus 3,16,207804,40,6.55,3
Dhanalakshmi Srinivasan Engineering College - Campus 3,22,211415,79,7.22,3
IFET College of Engineering - Campus 3,20,69081,61,8.45,3
Velalar College of Engineering and Technology - Campus 3,8,223928,99,8.5,5
SNS College of Technology - Campus 3,14,123105,68,5.65,6
Adhiyamaan College of Engineering - Campus 3,16,249930,47,7.61,8
Indian Institute of Technology Madras - Campus 4,8,49065,50,6.81,4
National Institute of Technology Trichy - Campus 4,19,244532,80,10.85,5
Anna University Chennai - Campus 4,15,118092,76,7.3,5
PSG College of Technology - Campus 4,18,84693,53,6.41,8
Coimbatore Institute of Technology - Campus 4,26,56962,99,6.04,8
Government College of Technology Coimbatore - Campus 4,24,58295,69,7.72,4
SSN College of Engineering - Campus 4,15,43807,74,10.04,4
SRM Institute of Science and Technology - Campus 4,10,203420,60,7.38,8
VIT Vellore - Campus 4,10,187504,76,8.62,3
SASTRA University - Campus 4,8,244357,44,9.38,5
Sri Sairam Engineering College - Campus 4,12,218926,58,7.2,7
Velammal Engineering College - Campus 4,17,201334,98,6.27,4
Rajalakshmi Engineering College - Campus 4,14,198152,53,10.77,4
St Josephs College of Engineering - Campus 4,16,162396,65,6.18,8
Kumaraguru College of Technology - Campus 4,14,121267,43,6.62,6
Thiagarajar College of Engineering - Campus 4,16,196981,64,11.9,7
Bannari Amman Institute of Technology - Campus 4,15,49870,84,2.0,7
Sri Krishna College of Engineering and Technology - Campus 4,19,195650,81,3.85,4
Sona College of Technology - Campus 4,9,233196,64,5.84,3
Karpagam College of Engineering - Campus 4,8,56790,57,11.33,6
Muthayammal Engineering College - Campus 4,23,148874,79,2.7,7
Paavai College of Engineering - Campus 4,12,55289,47,2.09,4
Mahendra Engineering College - Campus 4,10,216201,78,2.53,7
Nandha Engineering College - Campus 4,19,45485,79,2.89,9
Erode Sengunthar Engineering College - Campus 4,15,74482,53,2.38,6
Dhanalakshmi Srinivasan Engineering College - Campus 4,29,116188,71,6.8,6
IFET College of Engineering - Campus 4,10,34748,90,7.81,9
Velalar College of Engineering and Technology - Campus 4,8,247841,77,4.72,5
SNS College of Technology - Campus 4,10,170507,72,5.98,9
Adhiyamaan College of Engineering - Campus 4,12,33709,62,2.92,8
Indian Institute of Technology Madras - Campus 5,22,153961,54,5.36,8
National Institute of Technology Trichy - Campus 5,21,60355,72,7.23,4
Anna University Chennai - Campus 5,10,216843,64,9.32,6
PSG College of Technology - Campus 5,8,218871,56,2.03,5
Coimbatore Institute of Technology - Campus 5,12,174188,72,6.67,5
Government College of Technology Coimbatore - Campus 5,21,186542,86,4.97,7
SSN College of Engineering - Campus 5,14,203416,94,10.53,7
SRM Institute of Science and Technology - Campus 5,16,72918,41,9.16,9
VIT Vellore - Campus 5,22,82224,53,7.89,5
SASTRA University - Campus 5,22,69298,92,4.77,9
Sri Sairam Engineering College - Campus 5,17,110219,79,11.1,9
Velammal Engineering College - Campus 5,20,91629,79,2.45,7
Rajalakshmi Engineering College - Campus 5,26,96040,90,3.09,6
St Josephs College of Engineering - Campus 5,14,58016,78,5.92,9
Kumaraguru College of Technology - Campus 5,24,53960,90,3.24,3
Thiagarajar College of Engineering - Campus 5,27,63591,45,11.56,6
Bannari Amman Institute of Technology - Campus 5,11,243920,45,9.98,5
Sri Krishna College of Engineering and Technology - Campus 5,12,133333,42,4.59,5
Sona College of Technology - Campus 5,14,144821,46,7.89,9
Karpagam College of Engineering - Campus 5,20,228713,90,11.82,6
Muthayammal Engineering College - Campus 5,22,66395,47,10.84,7
Paavai College of Engineering - Campus 5,18,159695,81,8.01,7
Mahendra Engineering College - Campus 5,11,183772,91,11.04,8
Nandha Engineering College - Campus 5,20,64620,54,11.89,5
Erode Sengunthar Engineering College - Campus 5,14,158148,86,9.43,4
Dhanalakshmi Srinivasan Engineering College - Campus 5,26,50559,68,2.65,8
IFET College of Engineering - Campus 5,29,123396,72,6.02,7
Velalar College of Engineering and Technology - Campus 5,9,222714,91,10.38,6
SNS College of Technology - Campus 5,17,237611,69,4.31,7
Adhiyamaan College of Engineering - Campus 5,20,51732,78,10.31,6
Indian Institute of Technology Madras - Campus 6,28,121362,66,3.2,8
National Institute of Technology Trichy - Campus 6,13,191426,75,2.47,5
Anna University Chennai - Campus 6,19,43843,68,5.84,7
PSG College of Technology - Campus 6,19,144065,77,2.37,9
Coimbatore Institute of Technology - Campus 6,27,101726,96,11.57,6
Government College of Technology Coimbatore - Campus 6,18,47640,72,10.26,5
SSN College of Engineering - Campus 6,14,82528,76,10.01,4
SRM Institute of Science and Technology - Campus 6,8,68413,66,8.3,6
VIT Vellore - Campus 6,8,82638,94,4.16,8
SASTRA University - Campus 6,27,213808,72,7.18,4
Sri Sairam Engineering College - Campus 6,20,140133,43,7.97,4
Velammal Engineering College - Campus 6,16,136357,61,7.25,3
Rajalakshmi Engineering College - Campus 6,10,229938,41,4.6,7
St Josephs College of Engineering - Campus 6,14,180159,49,7.15,6
Kumaraguru College of Technology - Campus 6,13,202502,44,6.91,4
Thiagarajar College of Engineering - Campus 6,15,185576,98,11.96,3
Bannari Amman Institute of Technology - Campus 6,16,168186,49,10.97,8
Sri Krishna College of Engineering and Technology - Campus 6,12,108859,72,6.63,5
Sona College of Technology - Campus 6,8,129657,93,8.23,9
Karpagam College of Engineering - Campus 6,26,172047,77,9.48,9
Muthayammal Engineering College - Campus 6,17,41023,52,2.35,6
Paavai College of Engineering - Campus 6,19,51447,70,10.95,4
Mahendra Engineering College - Campus 6,22,155899,86,10.6,9
Nandha Engineering College - Campus 6,29,53959,75,6.57,7
Erode Sengunthar Engineering College - Campus 6,16,96203,84,5.91,9
Dhanalakshmi Srinivasan Engineering College - Campus 6,27,149156,63,4.73,9
IFET College of Engineering - Campus 6,24,190775,91,6.77,9
Velalar College of Engineering and Technology - Campus 6,24,39337,95,2.44,3
SNS College of Technology - Campus 6,27,76427,54,10.52,4
Adhiyamaan College of Engineering - Campus 6,19,91529,68,2.35,7
Indian Institute of Technology Madras - Campus 7,14,132023,47,5.29,4
National Institute of Technology Trichy - Campus 7,9,114665,44,11.32,6
Anna University Chennai - Campus 7,10,135787,68,9.35,6
PSG College of Technology - Campus 7,24,192993,86,4.81,6
Coimbatore Institute of Technology - Campus 7,12,63307,43,4.53,8
Government College of Technology Coimbatore - Campus 7,24,188427,51,2.05,9
SSN College of Engineering - Campus 7,24,157016,84,8.96,8
SRM Institute of Science and Technology - Campus 7,24,34835,41,2.49,3
VIT Vellore - Campus 7,9,50159,66,7.33,6
SASTRA University - Campus 7,9,208677,70,11.62,7
Sri Sairam Engineering College - Campus 7,29,151790,90,3.09,4
Velammal Engineering College - Campus 7,12,135616,90,10.94,9
Rajalakshmi Engineering College - Campus 7,8,199160,75,11.91,5
St Josephs College of Engineering - Campus 7,8,108752,75,2.62,7
Kumaraguru College of Technology - Campus 7,26,85284,65,10.83,9
Thiagarajar College of Engineering - Campus 7,9,87043,82,7.16,8
Bannari Amman Institute of Technology - Campus 7,28,196619,66,11.07,8
Sri Krishna College of Engineering and Technology - Campus 7,19,127007,44,7.71,7
Sona College of Technology - Campus 7,13,112844,59,8.62,8
Karpagam College of Engineering - Campus 7,11,57532,50,7.44,6
Muthayammal Engineering College - Campus 7,18,195421,49,10.64,3
Paavai College of Engineering - Campus 7,24,152402,79,9.34,4
Mahendra Engineering College - Campus 7,13,148012,77,7.21,3
Nandha Engineering College - Campus 7,12,206517,45,10.68,9
Erode Sengunthar Engineering College - Campus 7,27,166785,47,4.45,4
Dhanalakshmi Srinivasan Engineering College - Campus 7,9,86178,62,3.57,4
IFET College of Engineering - Campus 7,13,79407,86,3.6,3
Velalar College of Engineering and Technology - Campus 7,29,231412,65,5.34,7
SNS College of Technology - Campus 7,18,80990,85,4.39,4
Adhiyamaan College of Engineering - Campus 7,23,236744,82,11.3,3
Indian Institute of Technology Madras - Campus 8,23,159473,51,3.06,4
National Institute of Technology Trichy - Campus 8,8,226617,65,8.99,5
Anna University Chennai - Campus 8,16,245863,52,3.89,7
PSG College of Technology - Campus 8,13,88141,79,10.82,6
Coimbatore Institute of Technology - Campus 8,23,184865,57,11.61,4
Government College of Technology Coimbatore - Campus 8,10,86570,64,6.65,5
SSN College of Engineering - Campus 8,27,198964,72,10.79,6
SRM Institute of Science and Technology - Campus 8,11,31015,86,2.05,6
VIT Vellore - Campus 8,26,91813,79,10.2,9
SASTRA University - Campus 8,10,57712,99,4.29,4
Sri Sairam Engineering College - Campus 8,26,130497,82,11.09,3
Velammal Engineering College - Campus 8,27,169487,51,2.01,4
Rajalakshmi Engineering College - Campus 8,14,142816,83,7.56,5
St Josephs College of Engineering - Campus 8,27,158778,75,9.57,6
Kumaraguru College of Technology - Campus 8,16,92292,87,4.59,4
Thiagarajar College of Engineering - Campus 8,8,53833,43,3.93,3
Bannari Amman Institute of Technology - Campus 8,15,165230,44,2.84,9
Sri Krishna College of Engineering and Technology - Campus 8,14,223752,95,5.26,4
Sona College of Technology - Campus 8,25,50309,76,7.6,7
Karpagam College of Engineering - Campus 8,15,36970,47,3.16,9
Muthayammal Engineering College - Campus 8,8,102474,81,5.77,3
Paavai College of Engineering - Campus 8,18,247776,88,2.09,5
Mahendra Engineering College - Campus 8,25,76540,67,10.19,6
Nandha Engineering College - Campus 8,17,181456,70,3.28,4
Erode Sengunthar Engineering College - Campus 8,10,48017,97,4.83,3
Dhanalakshmi Srinivasan Engineering College - Campus 8,14,105880,48,2.18,9
IFET College of Engineering - Campus 8,23,135570,93,6.32,7
Velalar College of Engineering and Technology - Campus 8,23,38702,90,10.4,3
SNS College of Technology - Campus 8,27,161456,68,5.92,8
Adhiyamaan College of Engineering - Campus 8,24,30404,53,3.79,7
Indian Institute of Technology Madras - Campus 9,9,202015,79,9.54,9
National Institute of Technology Trichy - Campus 9,8,208998,80,9.89,5
Anna University Chennai - Campus 9,23,190261,61,3.74,6
PSG College of Technology - Campus 9,19,42763,50,9.71,9
Coimbatore Institute of Technology - Campus 9,12,179456,62,11.47,5
Government College of Technology Coimbatore - Campus 9,12,221172,40,3.66,4
SSN College of Engineering - Campus 9,16,128142,85,9.71,3
SRM Institute of Science and Technology - Campus 9,16,170932,76,9.09,8
VIT Vellore - Campus 9,10,110642,60,6.74,7
SASTRA University - Campus 9,26,80612,65,2.58,7
Sri Sairam Engineering College - Campus 9,23,53574,85,2.75,3
Velammal Engineering College - Campus 9,23,53524,75,10.52,8
Rajalakshmi Engineering College - Campus 9,10,230244,93,11.9,3
St Josephs College of Engineering - Campus 9,27,40916,62,8.76,4
Kumaraguru College of Technology - Campus 9,29,34809,96,6.46,5
Thiagarajar College of Engineering - Campus 9,8,193273,40,8.48,9
Bannari Amman Institute of Technology - Campus 9,27,214402,93,7.94,7
Sri Krishna College of Engineering and Technology - Campus 9,18,174528,94,5.84,4
Sona College of Technology - Campus 9,24,217469,90,2.66,5
Karpagam College of Engineering - Campus 9,15,151288,79,10.22,4
Muthayammal Engineering College - Campus 9,11,68765,54,5.72,8
Paavai College of Engineering - Campus 9,13,195888,60,10.19,7
Mahendra Engineering College - Campus 9,15,75106,86,4.53,9
Nandha Engineering College - Campus 9,27,83932,48,2.01,3
Erode Sengunthar Engineering College - Campus 9,10,178172,92,3.59,3
Dhanalakshmi Srinivasan Engineering College - Campus 9,23,87091,48,6.69,5
IFET College of Engineering - Campus 9,10,51949,49,11.44,9
Velalar College of Engineering and Technology - Campus 9,25,231152,91,3.02,6
SNS College of Technology - Campus 9,21,67744,96,10.54,8
Adhiyamaan College of Engineering - Campus 9,25,206615,92,7.27,5
Indian Institute of Technology Madras - Campus 10,9,138319,65,10.26,6
National Institute of Technology Trichy - Campus 10,29,122193,80,4.98,4
Anna University Chennai - Campus 10,10,66187,74,10.4,8
PSG College of Technology - Campus 10,23,168311,91,9.73,4
Coimbatore Institute of Technology - Campus 10,16,154454,64,4.3,9
Government College of Technology Coimbatore - Campus 10,11,44489,65,3.31,7
SSN College of Engineering - Campus 10,8,219089,50,10.68,8
SRM Institute of Science and Technology - Campus 10,11,91877,77,11.63,6
VIT Vellore - Campus 10,8,204197,41,2.31,7
SASTRA University - Campus 10,21,79922,46,9.31,3
Sri Sairam Engineering College - Campus 10,28,124074,57,11.1,6
Velammal Engineering College - Campus 10,23,193121,66,10.57,5
Rajalakshmi Engineering College - Campus 10,27,67131,73,11.65,3
St Josephs College of Engineering - Campus 10,15,204016,66,9.6,3
Kumaraguru College of Technology - Campus 10,14,145765,56,6.42,5
Thiagarajar College of Engineering - Campus 10,10,103963,82,5.12,8
Bannari Amman Institute of Technology - Campus 10,24,136884,98,5.21,3
Sri Krishna College of Engineering and Technology - Campus 10,8,155917,83,9.24,9
Sona College of Technology - Campus 10,23,54285,98,9.46,6
Karpagam College of Engineering - Campus 10,19,67626,90,4.0,7
Muthayammal Engineering College - Campus 10,26,203880,93,10.68,3
Paavai College of Engineering - Campus 10,29,249536,63,9.15,6
Mahendra Engineering College - Campus 10,29,214943,64,7.63,4
Nandha Engineering College - Campus 10,21,49198,46,6.72,6
Erode Sengunthar Engineering College - Campus 10,13,180830,91,7.43,7
Dhanalakshmi Srinivasan Engineering College - Campus 10,13,45254,45,3.59,6
IFET College of Engineering - Campus 10,20,74238,92,4.04,5
Velalar College of Engineering and Technology - Campus 10,26,31252,63,2.91,7
SNS College of Technology - Campus 10,29,69764,72,3.54,8
Adhiyamaan College of Engineering - Campus 10,15,107709,88,6.54,4
Indian Institute of Technology Madras - Campus 11,9,198513,68,7.3,5
National Institute of Technology Trichy - Campus 11,28,83682,82,2.18,8
Anna University Chennai - Campus 11,8,89494,61,9.97,6
PSG College of Technology - Campus 11,22,111317,65,4.94,7
Coimbatore Institute of Technology - Campus 11,8,95215,67,11.12,4
Government College of Technology Coimbatore - Campus 11,12,108587,89,11.68,5
SSN College of Engineering - Campus 11,23,36949,60,3.85,8
SRM Institute of Science and Technology - Campus 11,26,85393,88,6.62,8
VIT Vellore - Campus 11,11,234625,46,2.01,4
SASTRA University - Campus 11,10,168013,56,7.98,9
Sri Sairam Engineering College - Campus 11,24,55934,59,8.07,6
Velammal Engineering College - Campus 11,24,184458,80,4.48,4
Rajalakshmi Engineering College - Campus 11,19,222958,88,7.58,8
St Josephs College of Engineering - Campus 11,21,105745,59,4.26,3
Kumaraguru College of Technology - Campus 11,28,244323,93,3.61,5
Thiagarajar College of Engineering - Campus 11,13,124456,61,8.52,4
Bannari Amman Institute of Technology - Campus 11,10,83413,67,5.26,9
Sri Krishna College of Engineering and Technology - Campus 11,16,217872,79,7.9,8
Sona College of Technology - Campus 11,12,127239,88,6.33,6
Karpagam College of Engineering - Campus 11,24,72318,46,11.84,8
Muthayammal Engineering College - Campus 11,21,231245,40,3.5,6
Paavai College of Engineering - Campus 11,28,100390,71,6.65,4
Mahendra Engineering College - Campus 11,10,213401,52,8.8,6
Nandha Engineering College - Campus 11,8,73088,69,5.96,7
Erode Sengunthar Engineering College - Campus 11,27,133196,62,11.75,7
Dhanalakshmi Srinivasan Engineering College - Campus 11,28,200883,90,9.22,7
IFET College of Engineering - Campus 11,8,85479,98,8.57,9
Velalar College of Engineering and Technology - Campus 11,10,246464,95,9.57,9
SNS College of Technology - Campus 11,25,248441,58,11.53,3
Adhiyamaan College of Engineering - Campus 11,17,49963,71,11.08,9
Indian Institute of Technology Madras - Campus 12,29,85123,69,9.24,4
National Institute of Technology Trichy - Campus 12,10,155911,68,9.49,8
Anna University Chennai - Campus 12,15,132468,88,3.46,8
PSG College of Technology - Campus 12,21,103477,84,3.03,3
Coimbatore Institute of Technology - Campus 12,25,44388,68,7.71,9
Government College of Technology Coimbatore - Campus 12,22,35569,69,2.18,6
SSN College of Engineering - Campus 12,29,99836,55,6.82,3
SRM Institute of Science and Technology - Campus 12,9,134573,79,4.1,6
VIT Vellore - Campus 12,17,197658,58,5.46,6
SASTRA University - Campus 12,9,173087,57,9.76,5
Sri Sairam Engineering College - Campus 12,24,75002,40,11.41,8
Velammal Engineering College - Campus 12,15,167326,53,2.72,7
Rajalakshmi Engineering College - Campus 12,8,178216,90,7.34,9
St Josephs College of Engineering - Campus 12,16,185286,86,10.83,6
Kumaraguru College of Technology - Campus 12,18,241791,89,2.83,5
Thiagarajar College of Engineering - Campus 12,29,232846,41,10.25,8
Bannari Amman Institute of Technology - Campus 12,23,167162,93,5.58,7
Sri Krishna College of Engineering and Technology - Campus 12,14,172709,67,5.22,6
Sona College of Technology - Campus 12,17,183487,88,11.77,6
Karpagam College of Engineering - Campus 12,10,54071,89,4.01,3
Muthayammal Engineering College - Campus 12,25,88243,69,8.93,3
Paavai College of Engineering - Campus 12,20,155827,77,10.21,8
Mahendra Engineering College - Campus 12,14,138215,90,2.41,7
Nandha Engineering College - Campus 12,11,202312,43,8.7,6
Erode Sengunthar Engineering College - Campus 12,20,244879,40,11.52,8
Dhanalakshmi Srinivasan Engineering College - Campus 12,27,131570,47,3.24,8
IFET College of Engineering - Campus 12,8,194506,68,10.96,4
Velalar College of Engineering and Technology - Campus 12,15,99724,94,7.95,9
SNS College of Technology - Campus 12,21,145359,78,8.17,3
Adhiyamaan College of Engineering - Campus 12,23,105697,42,8.13,7
Indian Institute of Technology Madras - Campus 13,21,58732,71,4.99,6
National Institute of Technology Trichy - Campus 13,19,151465,49,11.35,8
Anna University Chennai - Campus 13,26,172386,49,11.47,6
PSG College of Technology - Campus 13,22,185026,58,8.25,4
Coimbatore Institute of Technology - Campus 13,9,87108,85,9.83,7
Government College of Technology Coimbatore - Campus 13,9,248116,73,8.12,8
SSN College of Engineering - Campus 13,29,248577,99,6.84,6
SRM Institute of Science and Technology - Campus 13,26,141195,72,8.61,3
VIT Vellore - Campus 13,29,133081,62,7.53,9
SASTRA University - Campus 13,29,66668,94,7.97,4
Sri Sairam Engineering College - Campus 13,24,53061,67,9.84,7
Velammal Engineering College - Campus 13,27,109252,71,6.81,4
Rajalakshmi Engineering College - Campus 13,17,69749,89,2.41,3
St Josephs College of Engineering - Campus 13,13,160560,46,3.64,7
Kumaraguru College of Technology - Campus 13,22,134680,68,6.39,4
Thiagarajar College of Engineering - Campus 13,29,177979,47,9.25,5
Bannari Amman Institute of Technology - Campus 13,18,179849,40,7.93,3
Sri Krishna College of Engineering and Technology - Campus 13,12,81745,96,8.5,3
Sona College of Technology - Campus 13,8,138464,94,6.79,3
Karpagam College of Engineering - Campus 13,15,121865,42,8.16,5
Muthayammal Engineering College - Campus 13,28,142428,63,5.29,5
Paavai College of Engineering - Campus 13,19,242890,62,6.7,6
Mahendra Engineering College - Campus 13,19,53624,98,9.44,8
Nandha Engineering College - Campus 13,12,53321,47,10.72,9
Erode Sengunthar Engineering College - Campus 13,14,171560,93,6.34,4
Dhanalakshmi Srinivasan Engineering College - Campus 13,11,52574,96,2.44,6
IFET College of Engineering - Campus 13,13,166312,86,3.62,4
Velalar College of Engineering and Technology - Campus 13,20,204293,76,2.21,9
SNS College of Technology - Campus 13,27,171550,42,8.53,8
Adhiyamaan College of Engineering - Campus 13,22,216717,90,5.32,5
Indian Institute of Technology Madras - Campus 14,10,180334,72,7.42,8
National Institute of Technology Trichy - Campus 14,15,148831,67,6.93,5
Anna University Chennai - Campus 14,27,213868,86,2.82,9
PSG College of Technology - Campus 14,23,165504,47,6.03,8
Coimbatore Institute of Technology - Campus 14,20,125257,73,4.21,6
Government College of Technology Coimbatore - Campus 14,25,94291,74,6.18,7
SSN College of Engineering - Campus 14,17,240176,71,4.04,6
SRM Institute of Science and Technology - Campus 14,26,220471,63,10.4,4
VIT Vellore - Campus 14,24,157600,53,3.74,6
SASTRA University - Campus 14,26,240786,71,11.61,9
Sri Sairam Engineering College - Campus 14,12,80428,95,6.16,3
Velammal Engineering College - Campus 14,28,248803,85,10.46,4
Rajalakshmi Engineering College - Campus 14,16,161374,82,8.29,8
St Josephs College of Engineering - Campus 14,19,243630,55,9.35,4
Kumaraguru College of Technology - Campus 14,28,161127,43,9.68,7
Thiagarajar College of Engineering - Campus 14,8,141317,91,7.05,5
Bannari Amman Institute of Technology - Campus 14,8,169789,76,7.43,8
Sri Krishna College of Engineering and Technology - Campus 14,22,157449,93,7.14,4
Sona College of Technology - Campus 14,9,58699,60,7.88,8
Karpagam College of Engineering - Campus 14,29,103686,53,2.29,8
Muthayammal Engineering College - Campus 14,23,97661,70,5.96,8
Paavai College of Engineering - Campus 14,15,74247,94,8.06,5
Mahendra Engineering College - Campus 14,20,177820,87,7.98,9
Nandha Engineering College - Campus 14,28,135113,57,9.93,6
Erode Sengunthar Engineering College - Campus 14,8,34621,46,8.55,8
Dhanalakshmi Srinivasan Engineering College - Campus 14,23,176106,49,11.92,3
IFET College of Engineering - Campus 14,14,166198,46,4.84,9
Velalar College of Engineering and Technology - Campus 14,12,166194,72,5.59,7
SNS College of Technology - Campus 14,29,48030,62,5.84,5
Adhiyamaan College of Engineering - Campus 14,10,112838,60,6.66,4
Indian Institute of Technology Madras - Campus 15,19,114717,58,10.36,5
National Institute of Technology Trichy - Campus 15,23,216730,87,4.36,4
Anna University Chennai - Campus 15,26,68638,58,9.76,5
PSG College of Technology - Campus 15,12,97067,75,6.05,4
Coimbatore Institute of Technology - Campus 15,29,148033,68,8.02,8
Government College of Technology Coimbatore - Campus 15,21,135977,99,8.33,6
SSN College of Engineering - Campus 15,12,118869,57,5.73,4
SRM Institute of Science and Technology - Campus 15,22,135186,41,7.13,4
VIT Vellore - Campus 15,24,64674,40,6.13,3
SASTRA University - Campus 15,21,196926,86,2.69,4
Sri Sairam Engineering College - Campus 15,27,76271,44,6.37,3
Velammal Engineering College - Campus 15,12,103688,59,2.97,7
Rajalakshmi Engineering College - Campus 15,19,199590,50,6.05,8
St Josephs College of Engineering - Campus 15,23,141076,81,7.93,3
Kumaraguru College of Technology - Campus 15,23,171339,41,7.79,6
Thiagarajar College of Engineering - Campus 15,28,31062,42,8.63,9
Bannari Amman Institute of Technology - Campus 15,14,80448,62,2.95,8
Sri Krishna College of Engineering and Technology - Campus 15,11,125462,94,8.52,3
Sona College of Technology - Campus 15,8,167301,51,5.12,8
Karpagam College of Engineering - Campus 15,12,217865,59,5.99,8
Muthayammal Engineering College - Campus 15,17,77915,44,10.58,8
Paavai College of Engineering - Campus 15,29,34632,76,2.09,7
